Vinf;textID;HelpForm;To;LingDist;ToHelp;Formality;Helpee
protect;305001;help;Yes;0;No;4.66802444;No
prevent;249307;help;Yes;0;No;4.913143736;No
pull;329103;help;Yes;1;Yes;4.966994106;Yes
precipitate;3029314;helps;No;0;No;4.175099443;No
invest;3033808;help;No;1;Yes;4.630922693;Yes
find;3043203;helping;No;1;No;4.829039813;Yes
behave;3047300;help;Yes;1;No;4.470444021;Yes
identify;3043500;helps;No;0;No;4.758264463;No
create;211702;helped;No;0;No;4.984962406;No
establish;327602;helped;No;0;No;4.464071856;No
understand;346107;helps;No;1;No;4.816189624;Yes
gain;336805;help;No;1;Yes;5.055214724;Yes
encourage;3028402;help;No;0;Yes;4.500927644;No
learn;349806;help;No;2;Yes;5.403946112;Yes
make;17302;help;No;0;Yes;5.135327635;No
define;3037502;helps;No;0;No;4.157099698;No
follow;113201;help;No;2;No;4.498334444;Yes
relax;3090506;helping;No;1;No;4.828162291;Yes
score;3087804;helped;No;0;No;4.028064993;No
prosper;3074803;help;No;3;Yes;4.379396462;Yes
improve;3085913;help;No;0;Yes;4.505171042;No
beat;3019800;helped;No;1;No;4.256106812;Yes
sell;3019214;help;No;1;Yes;4.628297362;Yes
meet;3091003;help;Yes;0;No;4.230567333;No
make;52801;help;Yes;0;No;4.303046218;No
bring;3090110;help;No;0;No;4.559055118;No
avoid;3063714;help;Yes;1;No;4.284353742;Yes
grow;131707;help;No;2;Yes;4.755926934;Yes
keep;408408;helps;Yes;0;No;4.136494253;No
argue;104608;help;No;0;Yes;4.554222235;No
encourage;3078813;help;No;0;Yes;4.510791367;No
progress;262703;helping;Yes;1;No;4.358595194;Yes
step;333208;help;No;3;Yes;4.2;Yes
release;3018314;help;Yes;0;No;4.804511278;No
get;3023711;help;No;1;Yes;4.273512476;Yes
make;340004;help;No;1;No;3.906148867;Yes
figure;3029213;help;Yes;1;No;4.804459691;Yes
search;330202;help;No;1;Yes;4.772435897;Yes
analyze;224100;help;No;1;Yes;4.348654709;Yes
spread;3054013;help;Yes;1;No;4.008281574;Yes
work;3081500;help;No;1;No;4.694680851;Yes
awaken;3059408;helped;No;0;No;4.229601518;No
light;347507;help;No;0;Yes;4.642002782;No
learn;235300;help;No;2;No;4.023235031;Yes
draw;3053014;help;No;0;Yes;4.190071848;No
become;23300;help;No;1;No;4.629177378;Yes
correct;3076402;help;Yes;0;No;4.415629984;No
contribute;3062903;help;Yes;0;No;4.432026689;No
embrace;364703;help;No;4;Yes;4.855534709;Yes
pay;130707;help;No;0;Yes;4.835810811;No
be;3074610;help;No;1;No;4.588645418;Yes
have;171406;helps;Yes;1;No;5.534653465;Yes
overcome;3017414;help;No;1;Yes;4.201975851;Yes
achieve;3051310;helping;Yes;1;No;4.8828125;Yes
connect;3026804;help;No;1;No;3.991672835;Yes
keep;297704;help;No;0;No;4.631768953;No
facilitate;3078210;help;Yes;0;No;4.567729084;No
gain;3049210;helped;No;1;No;4.419230769;Yes
clock;192004;help;No;1;Yes;4.456922718;Yes
ensure;3073602;helping;No;0;No;4.687218045;No
become;3066304;help;No;1;No;4.434697856;Yes
sustain;82904;help;No;0;No;5.109774436;No
nurture;124205;help;No;0;No;4.519953052;No
encourage;3006208;help;No;0;Yes;5.019920319;No
save;9705;help;No;1;Yes;4.608404967;Yes
navigate;298905;help;No;1;No;4.597410799;Yes
appreciate;179207;helps;No;3;No;4.326121795;Yes
find;3031304;help;No;1;No;3.890909091;Yes
pay;3058906;help;No;1;Yes;4.840540541;Yes
communicate;3022413;helped;Yes;0;No;4.092068774;No
fall;3035109;helped;No;1;No;3.886703383;Yes
change;346202;helps;No;0;No;4.419281492;No
stimulate;3029500;helped;No;0;No;5.055940023;No
identify;321700;help;No;0;No;5.342336683;No
improve;3032208;helps;No;0;No;4.84591195;No
bring;3029703;help;No;1;No;4.02689243;Yes
visualize;8601;help;No;1;Yes;4.443378119;Yes
find;3074814;helped;Yes;0;No;4.379562044;No
become;3082713;helping;No;1;No;4.618849357;Yes
fix;3028106;helped;No;0;No;4.432629333;No
keep;3040509;help;No;0;Yes;4.211062591;No
run;413903;helping;Yes;0;No;4.313590693;No
transition;3071202;help;Yes;0;No;4.528648649;No
improve;3035614;help;No;2;Yes;4.831111111;Yes
function;3079300;help;No;1;No;4.279483037;Yes
do;3087400;helping;No;1;No;4.272108844;Yes
add;29307;help;No;0;Yes;4.918001885;No
come;84106;help;No;1;No;4.325696854;Yes
clear;3009313;help;No;0;No;4.331306991;No
bring;127201;help;No;0;No;5.258883249;No
open;394201;helps;No;1;No;4.498211091;Yes
continue;114807;help;Yes;2;No;4.344887348;Yes
get;3040109;help;No;0;No;4.345299529;No
understand;197603;help;Yes;1;No;4.374251497;Yes
face;3050602;help;No;1;No;4.765291607;Yes
meet;296304;helps;No;1;No;4.366579178;Yes
reduce;401708;helping;Yes;0;No;4.351170569;No
board;3013904;helped;Yes;5;No;5.023072594;Yes
work;3018907;helping;Yes;1;No;4.995485327;Yes
mask;3028108;help;No;0;No;4.530003093;No
reach;3086112;helped;No;1;No;4.383383383;Yes
carry;83306;help;No;2;No;4.795888399;Yes
shift;349005;helping;Yes;1;No;4.815490634;Yes
maintain;245807;help;No;0;Yes;4.300890208;No
tighten;3067506;help;No;1;No;4.38336714;Yes
combat;362101;helps;No;0;No;4.513994911;No
raise;3021708;help;No;0;Yes;4.224816544;No
keep;147407;help;No;0;No;4.351571595;No
find;40100;help;Yes;1;No;5.0327654;Yes
fight;3080801;help;No;0;Yes;4.105691057;No
achieve;224700;helping;No;4;Yes;4.282712512;Yes
prevent;3005011;helps;No;0;No;3.885047897;No
budget;3048800;help;No;1;No;4.591194969;Yes
optimize;171007;help;Yes;0;No;4.964705882;No
feed;44304;helps;Yes;0;No;4.459668508;No
train;3058500;help;No;0;Yes;4.335889571;No
combat;3061306;help;Yes;0;No;4.637583893;No
spread;208902;help;Yes;0;No;4.39616464;No
maintain;236401;help;No;0;No;4.331667948;No
tell;3090200;help;No;0;Yes;4.559112405;No
make;3061201;help;Yes;0;No;4.277673546;No
secure;263007;helped;Yes;1;No;4.324758842;Yes
recover;3035703;helped;No;2;No;4.076923077;Yes
minimize;3084301;help;No;0;No;4.108196721;No
look;3002402;help;No;0;Yes;4.476155965;No
pull;3086808;helping;Yes;0;No;4.519008264;No
answer;3005603;help;No;0;Yes;4.53968254;No
produce;3075905;help;Yes;0;No;4.469498911;No
rescue;3076704;help;No;1;Yes;4.246121083;Yes
raise;3020607;helping;No;1;No;4.432142857;Yes
explain;394201;help;Yes;0;No;4.498211091;No
secure;308504;helped;Yes;0;No;4.518431373;No
establish;3034013;helping;Yes;0;No;4.784123911;No
study;87600;helped;Yes;1;No;4.7381317;Yes
solve;3009012;help;No;0;No;4.853756382;No
gain;184602;help;No;1;No;4.744339951;Yes
develop;3087502;helping;Yes;0;No;4.986338798;No
make;224701;helps;Yes;0;No;4.725897312;No
get;3057800;help;No;3;No;4.036290323;Yes
nod;236403;help;No;1;No;4.415469146;Yes
launch;3056708;help;No;0;Yes;5.176767677;No
find;117002;help;No;1;No;4.516088328;Yes
get;187904;helping;No;1;No;4.866585067;Yes
avoid;134204;help;Yes;0;No;5.393763797;No
identify;249408;helps;No;0;No;4.379182156;No
lift;3000200;help;No;0;Yes;4.407730673;No
keep;3044512;helps;No;0;No;4.448208469;No
lead;3007802;helping;Yes;0;No;4.456038647;No
put;73101;help;Yes;1;No;4.189461883;Yes
find;3025912;help;No;2;Yes;4.391732283;Yes
form;308902;helping;No;1;No;4.57057921;Yes
resist;405107;help;No;1;No;4.613278223;Yes
use;3069609;helping;No;2;No;5.067264574;Yes
build;3069403;help;No;1;Yes;4.939004815;Yes
achieve;3000506;helps;Yes;2;No;4.269468003;Yes
realize;123007;help;No;1;Yes;4.907651715;Yes
get;313808;help;Yes;0;No;4.359019264;No
avoid;3047012;help;No;0;No;4.411599626;No
love;241603;helping;No;1;No;4.061336254;Yes
think;3003907;help;No;1;No;4.546242775;Yes
manoeuvre;168600;help;No;1;Yes;4.721884498;Yes
keep;28408;helps;No;0;No;4.301189618;No
keep;3076300;helped;No;0;No;4.348178138;No
find;217108;help;No;1;No;4.328118015;Yes
acquire;383606;helping;Yes;1;No;4.593073593;Yes
leave;3022410;helped;No;1;No;4.004938272;Yes
avoid;84407;help;Yes;0;No;4.549494949;No
clean;378806;help;No;0;Yes;4.22826087;No
look;311202;help;No;1;No;4.527007424;Yes
try;363001;helped;No;1;No;4.638497653;Yes
provide;320605;helping;Yes;0;No;4.469408225;No
ensure;3063008;help;No;0;No;5.261111111;No
stay;158401;help;No;1;No;4.383038795;Yes
make;413605;help;No;1;No;4.701986755;Yes
overcome;132206;help;No;1;No;3.975228659;Yes
stimulate;3090208;help;No;0;No;4.529273671;No
relax;3003701;helps;No;1;No;3.931782946;Yes
deliver;3073204;help;Yes;0;No;4.701449127;No
take;215307;helped;Yes;1;No;3.900080228;Yes
unlock;308902;help;No;1;Yes;4.57057921;Yes
repair;13101;help;No;0;No;4.19737459;No
deal;3056412;help;No;1;No;5.157676349;Yes
equalize;3042211;help;No;0;Yes;4.664259928;No
make;90103;help;Yes;0;No;4.590454196;No
yield;3078200;helped;Yes;0;No;5.100818833;No
see;326001;helped;Yes;1;No;4.02020202;Yes
make;255108;help;No;1;Yes;4.462414579;Yes
prepare;89308;help;No;1;Yes;4.824399261;Yes
find;348302;help;No;1;Yes;4.873786408;Yes
rescue;125408;helping;No;0;No;4.613361389;No
keep;3051604;helps;Yes;1;No;4.453168044;Yes
settle;3044506;help;No;1;No;4.598130841;Yes
eradicate;3060811;help;No;0;Yes;5.183673469;No
bring;3044200;helped;No;0;No;4.458997722;No
determine;272901;help;No;0;Yes;4.692179144;No
have;3081207;help;No;1;Yes;4.216666667;Yes
decide;99205;help;No;0;No;4.360730594;No
paint;304306;helps;No;0;No;4.216463415;No
produce;17302;help;No;0;No;5.135327635;No
soften;380806;help;No;0;Yes;4.494550409;No
see;225607;helped;Yes;1;No;4.753767123;Yes
look;29004;helps;Yes;1;No;4.786401925;Yes
hone;138300;help;No;0;No;4.761450382;No
open;3069713;helped;No;5;No;4.697012802;Yes
meet;154500;helps;No;1;No;5.1507192;Yes
get;150707;help;No;1;Yes;3.643962848;Yes
improve;11904;help;No;0;Yes;4.728648649;No
form;87701;helping;No;0;No;4.737527115;No
absorb;3033100;help;No;1;Yes;4.669093316;Yes
deal;3002113;helps;No;1;No;4.179873217;Yes
grow;138604;help;No;0;No;4.573469388;No
make;3030204;help;No;0;No;4.349834984;No
rehabilitate;279603;helping;Yes;0;No;4.942424242;No
find;3005800;help;No;1;Yes;4.350459482;Yes
evolve;3088310;helped;No;1;No;4.466049383;Yes
set;180905;help;Yes;2;Yes;4.679971326;Yes
save;314304;helped;Yes;0;No;4.118676303;No
make;30200;helped;No;0;No;4.715058611;No
develop;185602;helped;No;0;No;4.179681577;No
educate;299403;help;No;0;Yes;4.578787879;No
become;3071000;help;No;1;Yes;4.470108323;Yes
answer;221603;helping;No;1;No;4.582677165;Yes
raise;3053500;helped;Yes;0;No;4.649135447;No
develop;3041907;helping;No;1;No;5.184056272;Yes
manage;3014306;help;No;1;No;4.53068933;Yes
meet;3068614;helping;Yes;1;No;5.210892236;Yes
come;3042508;helping;Yes;1;No;5.045133992;Yes
end;271101;help;No;1;Yes;4.149847095;Yes
grow;3803;help;Yes;3;No;4.273049645;Yes
achieve;227505;help;Yes;0;No;4.943887776;No
live;3039504;help;No;1;No;4.504986401;Yes
tell;290800;helps;No;1;No;4.041220115;Yes
produce;3066903;help;No;0;Yes;5.047263682;No
draw;18002;help;No;1;No;4.280060883;Yes
determine;305500;helping;Yes;0;No;5.010973418;No
signpost;229404;help;No;0;Yes;4.198465473;No
oversee;3019410;helped;No;0;No;4.713124274;No
meet;268400;helping;Yes;1;No;4.783531607;Yes
become;3036106;help;No;2;No;4.628881988;Yes
keep;3051501;help;Yes;0;No;4.032835821;No
find;317903;help;No;0;No;4.469920545;No
make;15706;helped;No;0;No;3.68162926;No
make;3007804;help;No;1;No;4.426966292;Yes
sort;3046306;helped;No;1;No;3.90460251;Yes
make;3025702;help;No;1;Yes;4.407158837;Yes
avoid;364201;help;Yes;1;No;4.420076455;Yes
be;13402;helped;Yes;1;No;4.269230769;Yes
get;283600;help;No;1;No;4.689583333;Yes
discover;267603;helped;Yes;1;No;4.508571429;Yes
improve;3067313;help;Yes;0;No;4.601336303;No
pull;116904;helping;Yes;0;No;4.328792342;No
achieve;3024704;help;No;1;No;4.552364865;Yes
smooth;3001504;helped;No;1;No;4.520383693;Yes
learn;3024702;helping;No;1;No;4.414847162;Yes
save;3048806;help;No;1;No;3.641732283;Yes
stop;196507;helped;Yes;1;No;3.977874677;Yes
disqualify;116702;helping;Yes;1;No;4.332846004;Yes
prevent;392406;help;Yes;0;No;5.020833333;No
find;3058503;help;No;1;Yes;4.18583043;Yes
achieve;3051310;help;No;1;Yes;4.8828125;Yes
move;107703;help;No;3;Yes;4.674583123;Yes
get;366203;help;No;1;No;4.941056911;Yes
have;3035700;help;No;1;Yes;4.120200334;Yes
perform;374604;help;No;4;No;4.767548155;Yes
ensure;3088001;help;No;0;No;4.633744856;No
prevent;183303;helped;No;0;No;4.625352113;No
get;3007111;help;No;1;No;4.142857143;Yes
develop;185700;help;No;0;Yes;4.092226311;No
find;3036706;helps;Yes;1;No;4.140192539;Yes
improve;3077711;help;Yes;0;No;4.31372549;No
qualify;3060007;help;No;1;Yes;4.697889182;Yes
activate;3001509;helps;Yes;0;No;4.206739526;No
protect;3034707;helped;No;0;No;4.61509901;No
prepare;87400;help;No;0;No;5.124416796;No
stabilize;413005;helping;Yes;0;No;4.555813953;No
sustain;3068602;help;No;0;Yes;5.025193798;No
achieve;113801;help;Yes;1;No;4.362712725;Yes
progress;3070600;helped;No;2;No;4.704265403;Yes
ensure;306003;help;Yes;0;No;5.312058824;No
think;63707;helped;Yes;1;No;4.782914573;Yes
mitigate;351902;help;No;0;No;5.148296593;No
turn;113801;helped;No;0;No;4.362712725;No
rise;3047711;help;No;2;No;4.193415638;Yes
fix;3061504;help;No;0;No;5.098823529;No
consolidate;215904;helped;Yes;0;No;4.464957265;No
join;238302;help;No;3;Yes;5.089990817;Yes
turn;3087410;help;Yes;2;No;4.638257576;Yes
develop;194603;help;Yes;1;No;5.12363996;Yes
see;3053009;helped;Yes;1;No;4.240400668;Yes
fix;104608;helped;No;0;No;4.554222235;No
make;3037609;helps;Yes;0;No;4.378928329;No
show;29004;helps;Yes;0;No;4.786401925;No
keep;3065007;helping;No;0;Yes;4.658711217;No
move;3041200;helped;No;0;No;4.750556793;No
wake;3007608;help;No;0;Yes;4.771957672;No
change;3014602;helping;Yes;0;No;4.373170732;No
pay;3015607;help;No;1;No;4.699152542;Yes
secure;191306;help;No;0;Yes;4.39210468;No
see;288304;help;No;1;No;4.500932836;Yes
overcome;292903;help;No;1;Yes;4.716949153;Yes
engage;3023702;help;No;2;Yes;4.516148506;Yes
achieve;322204;help;No;1;No;4.097968937;Yes
cope;291703;help;No;3;Yes;4.854489164;Yes
keep;196003;help;Yes;1;No;4.381160572;Yes
interoperate;3087310;help;No;1;Yes;4.533249686;Yes
spread;245807;helped;Yes;0;No;4.300890208;No
recover;3086905;helps;No;2;No;5.011534025;Yes
deal;3076302;help;No;2;Yes;4.504531722;Yes
achieve;3046202;help;No;1;Yes;4.602591793;Yes
learn;3024703;help;No;1;Yes;4.304431599;Yes
make;3044208;help;No;0;No;4.364514182;Yes
inspire;3037200;help;No;0;Yes;4.136919315;No
feel;313906;help;No;1;Yes;4.179678745;Yes
frighten;3014907;help;No;0;No;4.349883991;No
move;3077003;helping;Yes;0;No;4.659428571;No
do;93500;help;Yes;1;No;4.387673956;Yes
build;152602;help;No;0;No;4.409681228;No
track;3050311;helps;Yes;1;No;4.398390342;Yes
make;391906;help;Yes;1;No;4.297894737;Yes
integrate;3048000;helping;Yes;1;No;4.836032389;Yes
teach;218305;help;Yes;1;No;4.765243902;Yes
cook;3024807;help;No;1;No;4.661590525;Yes
get;3056207;help;No;1;No;3.964391691;Yes
make;3017404;helping;Yes;0;No;4.255711775;No
keep;3020406;helps;No;0;No;5.217256789;No
provide;3038301;helps;Yes;1;No;5.11965812;Yes
figure;3026114;helps;No;1;No;4.035040431;Yes
make;3073504;help;No;0;No;5.338461538;No
make;3056903;help;No;1;No;4.272943981;Yes
define;3087402;help;No;0;No;4.796078431;No
realize;3053303;helps;Yes;1;No;4.306475904;Yes
prepare;16500;help;No;1;Yes;4.674187381;Yes
keep;19708;helps;No;0;No;4.052083333;No
save;259403;help;No;0;No;4.983606557;No
attract;171406;helps;Yes;0;No;5.534653465;No
deliver;325502;helping;Yes;0;No;4.808788599;No
get;3076703;help;Yes;3;Yes;4.398362892;Yes
deal;241603;help;No;2;Yes;4.061336254;Yes
cut;3001204;helped;Yes;0;No;4.741602067;No
minimize;3000011;help;No;0;Yes;4.817391304;No
smooth;71604;help;No;0;Yes;4.57591623;No
make;59702;help;No;0;No;4.136178862;No
bring;3026408;helping;No;1;No;4.29969419;Yes
ensure;3018913;help;Yes;0;No;5.275;No
keep;3072904;help;No;1;Yes;5.437142857;Yes
develop;212005;help;No;1;Yes;4.367773678;Yes
run;3052402;help;Yes;1;No;5.202991453;Yes
get;73904;helped;Yes;0;No;4.585813806;No
compete;3029000;help;No;1;Yes;4.317263668;Yes
migrate;3024707;help;No;1;No;4.627737226;Yes
develop;57700;helped;No;0;No;5.082372323;No
reduce;29307;help;No;0;Yes;4.918001885;No
guide;213906;helped;No;0;No;4.295774648;No
clean;3059508;helping;Yes;0;No;3.982014388;No
run;297900;helping;Yes;0;No;4.963581184;No
get;3040705;help;Yes;1;No;3.99458728;Yes
see;89005;help;Yes;1;No;4.360313316;Yes
lay;407707;help;No;0;Yes;5.155470681;No
keep;389308;help;No;1;No;4.545783133;Yes
move;3039713;help;No;1;Yes;4.128744939;Yes
go;3033403;help;No;2;No;4.327291037;Yes
smooth;136003;help;No;0;Yes;4.567984571;No
unlock;3089402;help;No;1;Yes;4.03357719;Yes
raise;338807;helped;No;0;No;4.069365338;No
report;3029301;help;Yes;0;No;4.100702576;No
make;3065914;help;No;0;No;4.313596491;No
experience;3043507;help;No;3;Yes;4.785;Yes
continue;3058308;helped;No;0;No;4.733572282;No
set;258702;helped;No;0;No;4.445963542;No
remain;3071811;helping;No;1;No;4.385093168;Yes
perpetuate;3021913;helped;No;0;No;4.666666667;No
negotiate;211505;help;No;0;No;4.374353671;No
mask;90103;help;Yes;0;No;4.590454196;No
feel;3044805;help;No;1;Yes;4.061165609;Yes
ensure;253007;help;Yes;0;No;4.771221532;No
return;407707;helping;No;2;No;5.155470681;Yes
show;3061211;helped;Yes;0;No;4.414634146;No
mitigate;3064607;helping;No;0;No;5.255707763;No
establish;3034110;helped;No;0;No;5.098684211;No
remember;74604;help;No;1;Yes;4.386893204;Yes
inspire;202602;helped;No;0;No;4.057377049;No
meet;3067309;help;No;1;No;4.947368421;Yes
pass;3003808;help;No;2;No;4.278969957;Yes
present;291901;helps;No;1;No;4.791220557;Yes
detect;384604;help;No;0;Yes;5.481634183;No
set;3033904;helped;No;0;No;4.378076063;No
stay;3024112;help;No;1;No;4.290322581;Yes
develop;43303;help;No;1;No;4.720081136;Yes
continue;3032409;help;No;1;Yes;4.686648501;Yes
perform;139202;help;No;1;No;4.467933492;Yes
form;3037708;helped;No;1;No;4.875;Yes
stay;3046210;help;No;1;No;4.648798521;Yes
ease;3006308;help;No;1;Yes;4.302161264;Yes
make;3029213;help;No;0;No;4.804459691;No
overcome;3007914;helping;Yes;1;No;5.025688073;Yes
guide;371400;help;No;0;Yes;4.37755102;No
intercept;231407;helping;No;2;No;4.560949568;Yes
avoid;403906;helps;Yes;1;No;4.258064516;Yes
secure;370806;helped;No;1;No;4.621052632;Yes
reduce;201704;helps;Yes;0;No;4.373244642;No
prevent;158401;help;No;0;Yes;4.383038795;No
reduce;409204;help;Yes;0;No;4.340328786;No
create;3063009;help;Yes;0;No;4.711442786;No
explain;43403;help;No;0;No;4.708333333;No
talk;235300;helping;Yes;2;No;4.023235031;Yes
translate;3033210;help;No;0;Yes;4.315886134;No
add;3059801;help;No;0;No;4.141913992;No
keep;3083911;helped;No;1;No;4.369411765;Yes
buy;55408;help;No;2;Yes;4.344692737;Yes
know;327000;help;No;1;No;4.226742447;Yes
shift;223707;helping;Yes;0;No;4.867403315;No
determine;133005;help;No;0;No;5.179399142;No
budget;3043206;help;No;1;No;4.619585687;Yes
run;3050509;help;No;3;Yes;3.884615385;Yes
have;3003106;help;No;3;No;3.930712858;Yes
make;382603;help;Yes;1;No;5.332167832;Yes
make;3051604;help;No;0;Yes;4.453168044;No
sort;3039804;help;No;1;Yes;4.0125;Yes
prevent;80300;help;No;0;Yes;3.950864422;No
shape;3058513;helped;Yes;0;No;4.692387904;No
alleviate;3052102;help;No;0;No;4.846016115;No
identify;364808;help;No;1;Yes;4.689806678;Yes
keep;161604;help;No;1;Yes;5.182915506;Yes
get;3048612;help;No;2;No;3.889298893;Yes
meet;95805;help;No;1;Yes;4.415162455;Yes
predicate;206508;help;No;1;No;4.74743025;Yes
level;3047502;help;No;0;No;4.434602649;No
reduce;3081312;help;Yes;2;No;4.890282132;Yes
evaluate;3061514;help;No;1;Yes;4.937193327;Yes
make;310304;helping;Yes;0;No;4.502430402;No
clear;3018109;helped;No;1;No;3.798301486;Yes
improve;3073006;help;No;0;No;4.430505415;No
wrap;3018507;helps;No;0;No;4.931871574;No
see;354600;help;No;1;Yes;4.061464458;Yes
steer;3028306;help;No;1;No;4.664206642;Yes
avoid;291700;helps;Yes;1;No;4.502151544;Yes
make;234100;help;No;1;Yes;4.602044413;Yes
train;3069808;helping;Yes;0;No;4.804716981;No
get;357201;help;Yes;3;Yes;4.437837838;Yes
optimize;184306;help;No;0;No;4.570539419;No
be;3029213;help;No;2;No;4.804459691;Yes
understand;3051613;help;No;2;Yes;4.979130435;Yes
get;3091306;helped;No;1;No;4.581742243;Yes
give;3013002;help;No;0;Yes;4.358181818;No
get;14907;help;No;1;No;4.360406091;Yes
qualify;305301;helped;Yes;5;No;4.373376623;Yes
enhance;3021605;help;No;1;No;4.922290389;Yes
put;3021414;help;No;1;Yes;4.824925816;Yes
lose;3084304;help;Yes;1;No;4.355882353;Yes
create;228206;helped;No;0;No;4.293087971;No
develop;183900;helped;Yes;3;No;5.225108225;Yes
lead;7601;helped;No;0;No;4.212934062;No
restore;3065501;helping;No;1;No;4.736486486;Yes
make;155600;help;No;0;No;4.486725664;No
relax;3018100;helped;Yes;0;No;3.966829268;No
get;3063304;help;No;1;Yes;4.776206728;Yes
make;17305;helps;No;1;No;4.815491629;Yes
get;3065411;help;No;1;Yes;4.456521739;Yes
become;3070605;helps;No;2;No;4.87244284;Yes
follow;3089106;help;No;0;Yes;4.938209332;No
establish;349806;helped;No;0;No;5.403946112;No
invest;3073108;help;No;1;Yes;4.452025586;Yes
understand;3001504;help;No;1;No;4.520383693;Yes
decide;3036812;help;No;1;No;4.577962578;Yes
deliver;3010400;helping;Yes;1;No;4.902469918;Yes
produce;84603;help;No;0;No;5.234332425;No
acclimate;3008602;help;No;0;No;4.6886121;No
deliver;3073614;help;Yes;2;Yes;4.836956522;Yes
tell;334405;help;No;0;No;4.495152123;No
bring;3059103;helped;Yes;4;No;3.775223499;No
understand;103704;help;Yes;1;No;5.086538462;Yes
smooth;158606;help;Yes;1;No;4.066822978;Yes
eat;158401;help;No;1;No;4.383038795;Yes
fuel;332802;helped;No;0;No;4.63084922;No
run;3085411;help;No;1;No;4.275819798;Yes
get;3008604;help;No;1;No;4.810606061;Yes
inform;3000303;help;No;0;No;4.699566161;No
bring;3067301;help;No;0;No;4.466876972;Yes
learn;321300;help;Yes;1;No;4.646294882;Yes
develop;145200;help;No;1;No;4.830078125;Yes
rebuild;123008;help;Yes;0;Yes;4.255185721;No
address;28802;help;No;0;No;4.795596929;No
point;3060601;help;No;0;No;5.248965517;No
investigate;124404;help;No;1;Yes;4.583333333;Yes
lose;158401;help;No;1;Yes;4.383038795;Yes
reach;3070204;help;No;2;Yes;4.731884058;Yes
design;3003807;helped;Yes;0;No;4.68115942;No
find;3084605;helped;No;1;No;3.99742268;Yes
master;3059007;help;No;1;No;4.268738574;Yes
reduce;360702;helping;Yes;2;No;4.951155462;Yes
solve;55203;help;Yes;0;No;5.215498155;No
defray;3081405;help;No;0;No;5.197207679;No
purchase;200503;help;No;0;Yes;4.775037369;No
thrive;3051702;helped;Yes;1;No;4.68370607;Yes
stabilize;3030306;helped;No;0;No;4.930763179;No
stop;28801;help;No;0;No;4.825169909;No
develop;3072904;help;No;1;Yes;5.437142857;Yes
develop;3078200;help;No;1;No;5.100818833;Yes
complete;3038205;help;No;0;Yes;4.069605568;No
understand;392406;help;Yes;1;No;5.020833333;Yes